Session,Date,StartTime,Session.Length,Participant.Sex,Participant.Age,ExpSex,Erotic.Hits.PC,Control.Hits.PC,Stimulus.Seeking
1,5/30/2006,6:30PM,14.94333,Female,20,Female,50,45.8333333333333,3
2,6/2/2006,12:06PM,13.63722,Male,20,Female,58.3333333333333,50,4.5
3,6/2/2006,12:35PM,11.83861,Female,19,Female,66.6666666666666,45.8333333333333,2
4,6/2/2006,4:09PM,12.90917,Male,22,Female,58.3333333333333,50,3
5,6/2/2006,4:32PM,13.20028,Female,22,Female,66.6666666666666,33.3333333333333,3
6,6/3/2006,2:08PM,12.13056,Male,20,Female,66.6666666666666,54.1666666666666,3
7,6/4/2006,1:09PM,12.60056,Male,19,Female,50,62.5,3
8,6/5/2006,4:43PM,16.1825,Female,21,Female,41.6666666666666,75,2
9,6/6/2006,12:08PM,12.43833,Male,19,Female,58.3333333333333,45.8333333333333,2.5
10,6/6/2006,12:43PM,11.95417,Female,21,Female,41.6666666666666,62.5,4
11,6/6/2006,1:08PM,12.49833,Female,18,Female,66.6666666666666,41.6666666666666,2
12,6/6/2006,1:29PM,13.46778,Male,22,Female,50,79.1666666666666,1.5
13,6/6/2006,3:44PM,12.72528,Female,23,Female,58.3333333333333,41.6666666666666,2.5
14,6/6/2006,5:37PM,12.35889,Female,20,Female,66.6666666666666,54.1666666666666,3
15,6/7/2006,12:32PM,12.20333,Male,23,Female,58.3333333333333,54.1666666666666,1
16,6/7/2006,12:54PM,12.65972,Male,20,Female,66.6666666666666,54.1666666666666,4
17,6/7/2006,2:43PM,12.77167,Female,21,Female,66.6666666666666,58.3333333333333,3
18,6/7/2006,6:29PM,11.77028,Female,20,Female,41.6666666666666,62.5,3.5
19,6/8/2006,12:36PM,11.6775,Male,25,Female,58.3333333333333,41.6666666666666,3
20,6/9/2006,12:13PM,11.80083,Female,20,Female,58.3333333333333,45.8333333333333,2
21,6/10/2006,12:06PM,11.45778,Female,20,Female,66.6666666666666,54.1666666666666,3
22,6/15/2006,12:35PM,10.61972,Female,22,Female,50,50,2
23,6/16/2006,2:10PM,13.01722,Male,22,Female,58.3333333333333,50,3.5
24,6/17/2006,10:19AM,9.883333,Female,19,Female,25,62.5,2
25,6/17/2006,10:44AM,12.80389,Female,19,Female,41.6666666666666,58.3333333333333,2.5
26,6/18/2006,11:18AM,10.97417,Female,21,Female,33.3333333333333,33.3333333333333,2.5
27,6/20/2006,3:46PM,8.28861,Male,21,Female,33.3333333333333,58.3333333333333,2.5
28,6/20/2006,5:08PM,11.94555,Female,18,Female,33.3333333333333,25,2.5
29,6/21/2006,1:33PM,11.70444,Male,19,Female,50,58.3333333333333,3.5
30,6/21/2006,6:35PM,11.89667,Male,20,Female,50,54.1666666666666,2.5
31,6/22/2006,12:42PM,11.17056,Male,19,Female,58.3333333333333,45.8333333333333,3
32,6/22/2006,3:03PM,12.37694,Male,20,Female,58.3333333333333,45.8333333333333,1
33,6/22/2006,6:08PM,13.4525,Male,19,Female,58.3333333333333,29.1666666666666,4
34,6/28/2006,11:58AM,10.96917,Male,20,Female,50,41.6666666666666,2.5
35,6/28/2006,3:11PM,11.80083,Male,20,Female,66.6666666666666,37.5,2
36,6/28/2006,4:25PM,12.94333,Male,17,Female,33.3333333333333,58.3333333333333,2.5
37,6/30/2006,12:15PM,13.52833,Male,19,Female,83.3333333333333,45.8333333333333,2
38,7/1/2006,1:01PM,11.61944,Male,22,Female,66.6666666666666,58.3333333333333,3
39,7/5/2006,12:07PM,12.30944,Male,22,Female,66.6666666666666,41.6666666666666,3
40,7/5/2006,2:02PM,11.51944,Male,21,Female,41.6666666666666,50,3.5
41,10/30/2006,10:07AM,8.983334,Female,18,Female,66.6666666666666,38.8888888888888,2.5
42,10/30/2006,10:37AM,9.135,Male,27,Female,55.5555555555555,50,2.5
43,10/31/2006,12:44PM,9.536667,Female,20,Female,61.1111111111111,50,3.5
44,10/31/2006,1:06PM,8.346111,Male,21,Female,61.1111111111111,44.4444444444444,2
45,10/31/2006,1:36PM,9.853333,Female,19,Female,55.5555555555555,50,2.5
46,11/1/2006,11:36AM,9.136389,Female,18,Female,55.5555555555555,72.2222222222222,4
47,11/1/2006,1:37PM,8.008889,Female,19,Female,55.5555555555555,61.1111111111111,2.5
48,11/1/2006,3:35PM,8.120833,Female,19,Female,33.3333333333333,33.3333333333333,2.5
49,11/2/2006,10:31AM,7.984722,Male,20,Female,72.2222222222222,38.8888888888888,3
50,11/2/2006,11:38AM,8.719444,Female,19,Female,44.4444444444444,33.3333333333333,2
51,11/2/2006,12:00PM,9.333611,Female,20,Female,44.4444444444444,55.5555555555555,3
52,11/2/2006,12:42PM,8.637222,Female,18,Female,33.3333333333333,44.4444444444444,1
53,11/3/2006,10:08AM,8.504444,Male,22,Female,61.1111111111111,44.4444444444444,3
54,11/3/2006,10:39AM,8.299444,Female,19,Female,66.6666666666666,50,3
55,11/3/2006,11:04AM,7.903056,Female,18,Female,55.5555555555555,72.2222222222222,2
56,11/4/2006,10:39AM,9.013333,Female,19,Female,55.5555555555555,55.5555555555555,2.5
57,11/4/2006,11:06AM,8.037222,Female,19,Female,33.3333333333333,33.3333333333333,3
58,11/4/2006,11:34AM,8.18,Male,19,Female,50,50,2
59,11/4/2006,12:32PM,8.1825,Male,18,Female,55.5555555555555,72.2222222222222,3
60,11/4/2006,1:01PM,9.603889,Female,18,Female,38.8888888888888,44.4444444444444,2
61,11/5/2006,10:09AM,8.285,Female,21,Female,50,55.5555555555555,2.5
62,11/5/2006,10:34AM,8.156389,Male,18,Female,77.7777777777777,55.5555555555555,2
63,11/5/2006,11:03AM,9.392222,Female,19,Female,55.5555555555555,44.4444444444444,2.5
64,11/6/2006,10:06AM,8.528611,Male,18,Female,55.5555555555555,55.5555555555555,2
65,11/6/2006,11:14AM,8.178611,Male,18,Female,61.1111111111111,50,2.5
66,11/6/2006,11:33AM,8.079445,Male,20,Female,50,61.1111111111111,2.5
67,11/6/2006,11:58AM,8.839444,Male,19,Female,55.5555555555555,50,3
68,11/6/2006,12:35PM,10.22722,Male,18,Female,38.8888888888888,44.4444444444444,2
69,11/7/2006,12:36PM,9.195556,Male,20,X,55.5555555555555,38.8888888888888,2.5
70,11/7/2006,1:35PM,8.131945,Female,19,Male,27.7777777777777,50,2
71,11/7/2006,2:04PM,8.292222,Female,18,Male,66.6666666666666,55.5555555555555,3.5
72,11/7/2006,2:36PM,9.933333,Female,18,Male,72.2222222222222,33.3333333333333,3
73,11/8/2006,11:35AM,8.95,Male,20,Female,66.6666666666666,38.8888888888888,3
74,11/8/2006,12:06PM,10.31861,Male,24,Female,33.3333333333333,44.4444444444444,3
75,11/8/2006,12:37PM,9.183333,Male,18,Male,50,38.8888888888888,2.5
76,11/8/2006,1:37PM,14.77111,Female,18,Male,66.6666666666666,61.1111111111111,4
77,11/8/2006,2:05PM,8.505,Female,21,Female,55.5555555555555,38.8888888888888,2.5
78,11/8/2006,3:06PM,8.176389,Male,20,Female,44.4444444444444,50,2.5
79,11/8/2006,4:02PM,8.120277,Female,18,Female,44.4444444444444,55.5555555555555,4.5
80,11/9/2006,10:07AM,8.418889,Female,19,Female,44.4444444444444,55.5555555555555,2.5
81,11/9/2006,11:36AM,9.926389,Female,18,Female,61.1111111111111,44.4444444444444,1.5
82,11/9/2006,12:04PM,10.06139,Female,19,Female,44.4444444444444,55.5555555555555,2
83,11/9/2006,12:36PM,8.053889,Female,22,Female,33.3333333333333,38.8888888888888,2.5
84,11/9/2006,1:04PM,10.44972,Female,21,Female,61.1111111111111,55.5555555555555,3
85,11/9/2006,1:19PM,9.344444,Male,21,Female,44.4444444444444,61.1111111111111,1
86,11/10/2006,10:07AM,8.530556,Female,20,Female,55.5555555555555,61.1111111111111,3
87,11/10/2006,10:34AM,9.047778,Female,19,Female,61.1111111111111,38.8888888888888,2.5
88,11/10/2006,11:04AM,8.778889,Female,18,Female,44.4444444444444,33.3333333333333,3
89,11/11/2006,10:06AM,9.335556,Male,20,Female,44.4444444444444,38.8888888888888,2.5
90,11/11/2006,10:35AM,9.3075,Male,18,Female,27.7777777777777,72.2222222222222,2
91,11/11/2006,11:10AM,8.769167,Female,18,Female,44.4444444444444,44.4444444444444,2
92,11/11/2006,11:36AM,8.1425,Female,19,Female,55.5555555555555,44.4444444444444,3.5
93,11/11/2006,12:06PM,8.755834,Female,18,Female,77.7777777777777,66.6666666666666,4
94,11/11/2006,12:35PM,9.061666,Male,25,Female,44.4444444444444,33.3333333333333,3.5
95,11/13/2006,11:10AM,9.366944,Male,20,Female,55.5555555555555,44.4444444444444,2.5
96,11/14/2006,11:08AM,10.15194,Male,19,Female,55.5555555555555,61.1111111111111,2.5
97,11/14/2006,2:04PM,9.418333,Male,21,Female,27.7777777777777,83.3333333333333,2.5
98,11/14/2006,3:06PM,9.011111,Male,18,Female,66.6666666666666,44.4444444444444,1.5
99,11/15/2006,3:04PM,8.801666,Male,18,Female,66.6666666666666,27.7777777777777,3
100,11/16/2006,12:41PM,8.308333,Male,19,Female,38.8888888888888,44.4444444444444,2.5
